bandon 抛弃，放弃v.
abandonment 放弃n.
abasement 滥用n.
abbreviation 缩写n.
abeyance 缓办，中止n.
abide 遵守v.
ability 能力n.
able 有能力的，能干的adj.
abnormal 反常的，变态的adj.
aboard 船(车)上adv.
abolish 废除，取消v.
abolition 废除，取消.
abortion 流产n.
abortive 无效果的，失败的adj.
about 关于，大约prep.
above 在...之上，高于prep.
above-mentioned 上述的adj.
abreast 并肩，并列adv.
